Organization,Classification,Location
Spartan Organization for Astronautical Research (SOAR),Special Interest,
Spartan Quidditch ,Club Sports,
Spartan Racing Electric,Academic,
Spartan Self-Defence Club,Club Sports,
Spartan Sonatas,Special Interest,
Spartan Star League,Special Interest,
Spartan Superway ,Academic,
Spartan Table Tennis Club,Special Interest,
Spartan Tube Plane,Academic,
Spartan UAV Club,Academic,
Spartan Vehicle Simulator ,Academic,
Spartan Venture Capital,Special Interest,
Spartan Water Polo Club,Club Sports,
Spartan Wushu Club,Special Interest,
Spartanauts,Academic,
Spartans for Israel at San Jose State University,Special Interest,
Spartans Toastmasters -SJSU,Academic,
Sports Management Student Association,Academic,
Steel Bridge Team,Academic,
STEM Club,Special Interest,
Student Advocates for Higher Education,Special Interest,
Student Alumni Connection,Special Interest,
Student Associates of the American Chemical Society,Academic,
Student Music Association (SMA),Academic,
Student Occupational Therapy Association,Academic,
Student Packaging Association (SPA),Academic,
Students for Education Reform,Special Interest,
Students for Justice in Palestine,Special Interest,
Students for Life at SJSU,Special Interest,
Students for the Exploration and Development of Space (SEDS at SJSU),Special Interest,
Super Smash Bros at SJSU ,Special Interest,
Swimming Club,Club Sports,
Tabletop Gaming Club,Special Interest,
TAHELKA,Special Interest,
Taiwanese Student Association,Cultural and Religious,
Tau Beta Pi,Academic,
Team One Love ,Academic,
TEST,Cultural and Religious,
The Bhangra Club at SJSU,Cultural and Religious,
"The Coalition to Defend Affirmative Action, Integration, and Immigrant Rights and Fight for Equality By Any Means Necessary (BAMN)",Academic,
The Cultural Showcase Leadership Core,Special Interest,
The Rotaract Club at SJSU,Special Interest,
The Spartones,Special Interest,
The Valley Foundation School of Nursing Class of Fall 2016,Academic,
The Valley Foundation School of Nursing Class of Fall 2017,Academic,
The Valley Foundation School of Nursing Class of Fall 2019,Academic,
The Valley Foundation School of Nursing Class of Spring 2019,Academic,
Theta Chi Fraternity,Fraternity/Sorority,
TRANSITion SJSU,Special Interest,
Transportation Development (TransDev),Special Interest,
TRS Global & Domestic Experiences,Academic,
Tsunami Anime Club,Special Interest,
Tzu Chi at San Jose State University,Special Interest,
Ukulele Club,Special Interest,
Ultimate Frisbee Club at San Jose State,Club Sports,
"UM4C: United Methodist Students for Church, Campus, and Community Connection",Cultural and Religious,
Undergraduate Social Work Association ,Academic,
UNICEF SJSU,Special Interest,
United Sorority and Fraternity Council (USFC),Fraternity/Sorority,
Upsilon Rho Beta Honor Society Honor Society,Academic,
Urban Planning Coalition,Academic,
User Experience Association,Academic,
V-Day@SJSU,Special Interest,
Valley Foundation of Nursing Class of Fall 2018,Academic,
Veg Club,Special Interest,
Veterans Student Organization,Special Interest,
"Vietnamese Student Association, SJSU",Cultural and Religious,
Visionaries Club,Special Interest,
WGSSSA,Academic,
Women Have Options,Special Interest,
Women in Aviation at SJSU,Special Interest,
Women in Business @ SJSU,Academic,
Women's Club Volleyball at SJSU,Club Sports,
Women's Club Volleyball II,Club Sports,
Women's Lacrosse Club,Club Sports,
Women's Soccer Club at San Jose State University,Club Sports,
Womens Rugby ,Club Sports,
Womens Water Polo ,Club Sports,
Womyn of Color,Special Interest,
Wresting Club at SJSU,Club Sports,
Xicana/o Graduate Council (XGC),Academic,
YES PLUS Club,Special Interest,
Yoga Club,Special Interest,
Young Americans for Liberty ,Special Interest,
Zeta Chi Epsilon,Fraternity/Sorority,
"Zeta Phi Beta Sorority, Inc",Fraternity/Sorority,
